# BOSCH-DARAB extract file created 02.04.2026 13:53:22
#
# Data from source file "f34_20260324_23----	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_234140.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235017.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235339.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235628.bmsbin	CDarabFileGroup"
# where 0.000 <= xtime <= 948.996
# 
xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]
         41.700	            360	            407	          0.066
         41.800	            364	            406	          0.201
         41.900	            360	            407	         -0.101
         42.000	            360	            408	         -0.237
         42.100	            356	            405	         -0.257
         42.200	            359	            407	         -0.083
         42.300	            357	            407	          0.098
         42.400	            362	            408	          0.032
         42.500	            362	            407	         -0.046
         42.600	            361	            406	         -0.326
         42.700	            358	            407	         -0.258
         42.800	            362	            407	          0.160
         42.900	            357	            407	         -0.320
         43.000	            360	            406	         -0.198
         43.100	            359	            407	          0.047
         43.200	            355	            406	          0.160
         43.300	            358	            407	         -0.139
         43.400	            357	            406	         -0.284
         43.500	            363	            408	         -0.206
         43.600	            359	            407	         -0.011
         43.700	            357	            406	          0.230
         43.800	            361	            407	         -0.063
         43.900	            359	            407	         -0.349
         44.000	            361	            408	         -0.322
         44.100	            356	            409	          0.056
         44.200	            355	            404	          0.300
         44.300	            355	            406	         -0.332
         44.400	            363	            407	         -0.393
         44.500	            359	            407	         -0.212
         44.600	            360	            406	         -0.033
         44.700	            361	            406	          0.115
         44.800	            358	            407	         -0.002
         44.900	            358	            406	         -0.215
         45.000	            359	            407	         -0.247
         45.100	            360	            406	         -0.223
         45.200	            360	            406	          0.084
         45.300	            356	            404	          0.131
         45.400	            363	            407	         -0.185
         45.500	            362	            405	         -0.258
         45.600	            356	            407	         -0.240
         45.700	            357	            407	         -0.005
         45.800	            363	            406	          0.170
         45.900	            363	            405	         -0.063
         46.000	            360	            407	         -0.193
         46.100	            359	            406	         -0.310
         46.200	            358	            406	         -0.136
         46.300	            361	            406	          0.247
         46.400	            361	            406	          0.034
         46.500	            363	            405	         -0.264
         46.600	            358	            405	         -0.362
         46.700	            361	            406	         -0.061
         46.800	            361	            405	          0.274
         46.900	            362	            407	         -0.032
         47.000	            358	            405	          0.189
         47.100	            356	            405	         -0.032
         47.200	            357	            407	         -0.228
         47.300	            359	            408	         -0.287
         47.400	            358	            403	         -0.033
